"date","ticker","price"
2004-09-01,QQQ,35.139999
2004-10-01,QQQ,36.900002
2004-11-01,QQQ,39.119999
2004-12-01,QQQ,39.919998
2005-01-01,QQQ,37.400002
2005-02-01,QQQ,37.220001
2005-03-01,QQQ,36.57
2005-04-01,QQQ,34.98
2005-05-01,QQQ,38.080002
2005-06-01,QQQ,36.779999
2005-07-01,QQQ,39.580002
2005-08-01,QQQ,38.98
2005-09-01,QQQ,39.459999
2005-10-01,QQQ,38.869999
2005-11-01,QQQ,41.240002
2005-12-01,QQQ,40.41
2006-01-01,QQQ,42
2006-02-01,QQQ,41.099998
2006-03-01,QQQ,41.93
2006-04-01,QQQ,41.849998
2006-05-01,QQQ,38.82
2006-06-01,QQQ,38.77
2006-07-01,QQQ,37.099998
2006-08-01,QQQ,38.869999
2006-09-01,QQQ,40.650002
2006-10-01,QQQ,42.580002
2006-11-01,QQQ,44.040001
2006-12-01,QQQ,43.16
2007-01-01,QQQ,44.07
2007-02-01,QQQ,43.330002
2007-03-01,QQQ,43.529999
2007-04-01,QQQ,45.959999
2007-05-01,QQQ,47.41
2007-06-01,QQQ,47.599998
2007-07-01,QQQ,47.529999
2007-08-01,QQQ,48.869999
2007-09-01,QQQ,51.41
2007-10-01,QQQ,55.029999
2007-11-01,QQQ,51.310001
2007-12-01,QQQ,51.220001
2008-01-01,QQQ,45.130001
2008-02-01,QQQ,42.950001
2008-03-01,QQQ,43.720001
2008-04-01,QQQ,47.209999
2008-05-01,QQQ,50.009998
2008-06-01,QQQ,45.169998
2008-07-01,QQQ,45.459999
2008-08-01,QQQ,46.119999
2008-09-01,QQQ,38.91
2008-10-01,QQQ,32.889999
2008-11-01,QQQ,29.120001
2008-12-01,QQQ,29.74
2009-01-01,QQQ,29.059999
2009-02-01,QQQ,27.530001
2009-03-01,QQQ,30.32
2009-04-01,QQQ,34.279999
2009-05-01,QQQ,35.380001
2009-06-01,QQQ,36.380001
2009-07-01,QQQ,39.450001
2009-08-01,QQQ,40.029999
2009-09-01,QQQ,42.25
2009-10-01,QQQ,40.959999
2009-11-01,QQQ,43.560001
2009-12-01,QQQ,45.75
2010-01-01,QQQ,42.790001
2010-02-01,QQQ,44.759998
2010-03-01,QQQ,48.16
2010-04-01,QQQ,49.240002
2010-05-01,QQQ,45.599998
2010-06-01,QQQ,42.709999
2010-07-01,QQQ,45.810001
2010-08-01,QQQ,43.459999
2010-09-01,QQQ,49.07
2010-10-01,QQQ,52.18
2010-11-01,QQQ,52.09
2010-12-01,QQQ,54.459999
2011-01-01,QQQ,56
2011-02-01,QQQ,57.77
2011-03-01,QQQ,57.43
2011-04-01,QQQ,59.080002
2011-05-01,QQQ,58.360001
2011-06-01,QQQ,57.049999
2011-07-01,QQQ,58
2011-08-01,QQQ,55.060001
2011-09-01,QQQ,52.490002
2011-10-01,QQQ,57.950001
2011-11-01,QQQ,56.389999
2011-12-01,QQQ,55.830002
2012-01-01,QQQ,60.529999
2012-02-01,QQQ,64.410004
2012-03-01,QQQ,67.550003
2012-04-01,QQQ,66.760002
2012-05-01,QQQ,62.060001
2012-06-01,QQQ,64.160004
2012-07-01,QQQ,64.800003
2012-08-01,QQQ,68.160004
2012-09-01,QQQ,68.57
2012-10-01,QQQ,64.949997
2012-11-01,QQQ,65.800003
2012-12-01,QQQ,65.129997
2013-01-01,QQQ,66.870003
2013-02-01,QQQ,67.099998
2013-03-01,QQQ,68.970001
2013-04-01,QQQ,70.720001
2013-05-01,QQQ,73.25
2013-06-01,QQQ,71.269997
2013-07-01,QQQ,75.769997
2013-08-01,QQQ,75.470001
2013-09-01,QQQ,78.879997
2013-10-01,QQQ,82.790001
2013-11-01,QQQ,85.730003
2013-12-01,QQQ,87.959999
2014-01-01,QQQ,86.269997
2014-02-01,QQQ,90.339996
2014-03-01,QQQ,87.669998
2014-04-01,QQQ,87.389999
2014-05-01,QQQ,91.309998
2014-06-01,QQQ,93.910004
2014-07-01,QQQ,95.019997
2014-08-01,QQQ,99.779999
2014-09-01,QQQ,98.790001
2014-10-01,QQQ,101.400002
2014-11-01,QQQ,106.010002
2014-12-01,QQQ,103.25
2015-01-01,QQQ,101.099998
2015-02-01,QQQ,108.400002
2015-03-01,QQQ,105.599998
2015-04-01,QQQ,107.629997
2015-05-01,QQQ,110.050003
2015-06-01,QQQ,107.07
2015-07-01,QQQ,111.949997
2015-08-01,QQQ,104.309998
2015-09-01,QQQ,101.760002
2015-10-01,QQQ,113.330002
2015-11-01,QQQ,114.019997
2015-12-01,QQQ,111.860001
2016-01-01,QQQ,104.129997
2016-02-01,QQQ,102.5
2016-03-01,QQQ,109.199997
2016-04-01,QQQ,105.720001
2016-05-01,QQQ,110.339996
2016-06-01,QQQ,107.540001
2016-07-01,QQQ,115.230003
2016-08-01,QQQ,116.440002
2016-09-01,QQQ,118.720001
2016-10-01,QQQ,116.989998
2016-11-01,QQQ,117.5
2016-12-01,QQQ,118.480003
2017-01-01,QQQ,124.57
2017-02-01,QQQ,130.020004
2017-03-01,QQQ,132.380005
2017-04-01,QQQ,135.990005
2017-05-01,QQQ,141.289993
2017-06-01,QQQ,137.639999
2017-07-01,QQQ,143.229996
2017-08-01,QQQ,146.199997
2017-09-01,QQQ,145.449997
2017-10-01,QQQ,152.149994
2017-11-01,QQQ,155.149994
2017-12-01,QQQ,155.759995
2018-01-01,QQQ,169.399994
2018-02-01,QQQ,167.210007
2018-03-01,QQQ,160.130005
2018-04-01,QQQ,160.940002
2018-05-01,QQQ,170.070007
2018-06-01,QQQ,171.649994
2018-07-01,QQQ,176.449997
2018-08-01,QQQ,186.649994
2018-09-01,QQQ,185.789993
2018-10-01,QQQ,169.820007
2018-11-01,QQQ,169.369995
2018-12-01,QQQ,154.259995
2019-01-01,QQQ,168.160004
2019-02-01,QQQ,173.190002
2019-03-01,QQQ,179.660004
2019-04-01,QQQ,189.539993
2019-05-01,QQQ,173.949997
2019-06-01,QQQ,186.740005
2019-07-01,QQQ,191.100006
2019-08-01,QQQ,187.470001
2019-09-01,QQQ,188.809998
2019-10-01,QQQ,197.080002
2019-11-01,QQQ,205.100006
2019-12-01,QQQ,212.610001
2020-01-01,QQQ,219.070007
2020-02-01,QQQ,205.800003
2020-03-01,QQQ,190.399994
2020-04-01,QQQ,218.910004
2020-05-01,QQQ,233.360001
2020-06-01,QQQ,247.600006
2020-07-01,QQQ,265.790009
2020-08-01,QQQ,294.880005
2020-09-01,QQQ,277.839996
2020-10-01,QQQ,269.380005
2020-11-01,QQQ,299.619995
2020-12-01,QQQ,313.73999
2021-01-01,QQQ,314.559998
2021-02-01,QQQ,314.140015
2021-03-01,QQQ,319.130005
2021-04-01,QQQ,337.98999
2021-05-01,QQQ,333.929993
2021-06-01,QQQ,354.429993
